,msl_row,msl_column,z_row,z_column
2013-06-30,3,2,3,1
2013-07-01,2,0,3,3
2013-07-02,1,0,3,4
2013-07-03,3,0,3,4
2013-07-04,3,0,3,4
2013-07-05,3,0,3,4
2013-07-06,2,1,3,4
2013-07-07,0,1,2,4
2013-07-08,1,1,1,4
2013-07-09,1,2,0,3
2013-07-10,1,3,0,2
2013-07-11,1,4,0,1
2013-07-12,2,4,0,1
2013-07-13,3,2,2,2
2013-07-14,3,1,3,3
2013-07-15,3,0,3,4
2013-07-16,3,0,3,4
2013-07-17,3,0,3,4
2013-07-18,3,0,3,4
2013-07-19,2,0,2,4
2013-07-20,2,0,0,4
2013-07-21,1,0,0,4
2013-07-22,0,0,0,4
2013-07-23,0,0,0,4
2013-07-24,0,0,0,4
2013-07-25,2,0,0,4
2013-07-26,3,1,0,4
2013-07-27,3,1,1,3
2013-07-28,3,0,1,3
2013-07-29,3,2,2,2
2013-07-30,3,4,3,1
2013-07-31,3,4,3,0
2014-06-01,3,0,3,4
2014-06-02,3,3,1,4
2014-06-03,3,4,1,2
2014-06-04,3,4,1,1
2014-06-05,2,4,1,1
2014-06-06,0,4,1,1
2014-06-07,0,4,1,2
2014-06-08,0,2,1,2
2014-06-09,0,2,2,2
2014-06-10,1,2,3,2
2014-06-11,3,1,3,3
2014-06-12,2,1,3,4
2014-06-13,0,1,3,4
2014-06-14,0,2,2,3
2014-06-15,0,1,2,3
2014-06-16,0,1,3,4
2014-06-17,0,0,2,4
2014-06-18,0,0,0,4
2014-06-19,0,3,0,2
2014-06-20,0,4,0,0
2014-06-21,0,4,0,0
2014-06-22,0,3,0,0
2014-06-23,2,2,2,1
2014-06-24,3,3,3,1
2014-06-25,0,4,1,0
2014-06-26,0,3,0,1
2014-06-27,0,2,0,2
2014-06-28,0,1,0,3
2014-06-29,1,1,1,3
2014-06-30,3,1,2,3
2014-07-01,3,3,2,2
2014-07-02,3,3,2,1
2014-07-03,1,3,2,2
2014-07-04,0,3,1,1
2014-07-05,0,4,0,0
2014-07-06,0,4,1,0
2014-07-07,1,4,2,0
2014-07-08,2,4,3,0
2014-07-09,2,3,3,0
2014-07-10,0,3,2,0
2014-07-11,0,1,0,1
2014-07-12,0,0,0,2
2014-07-13,3,0,0,3
2014-07-14,3,0,0,4
2014-07-15,3,0,0,4
2014-07-16,3,0,0,4
2014-07-17,0,0,1,4
2014-07-18,0,0,0,4
2014-07-19,0,0,0,4
2014-07-20,0,0,0,4
2014-07-21,0,0,0,4
2014-07-22,0,0,0,4
2014-07-23,0,0,0,4
2014-07-24,0,0,0,4
2014-07-25,0,2,0,4
2014-07-26,0,3,0,4
2014-07-27,0,4,0,3
2014-07-28,0,4,0,3
2014-07-29,1,4,0,2
2014-07-30,2,3,0,2
2014-07-31,3,2,0,2
2015-06-01,2,4,1,0
2015-06-02,2,4,1,0
2015-06-03,0,4,0,0
2015-06-04,0,4,0,2
2015-06-05,0,2,3,4
2015-06-06,2,2,3,2
2015-06-07,3,1,3,3
2015-06-08,3,0,3,4
2015-06-09,2,0,3,4
2015-06-10,0,0,1,4
2015-06-11,0,0,1,4
2015-06-12,3,0,2,4
2015-06-13,3,1,3,3
2015-06-14,3,2,2,2
2015-06-15,1,3,0,1
2015-06-16,0,3,0,1
2015-06-17,0,2,0,2
2015-06-18,0,2,0,2
2015-06-19,3,2,0,1
2015-06-20,3,2,0,0
2015-06-21,3,2,0,0
2015-06-22,1,2,0,0
2015-06-23,0,2,0,0
2015-06-24,0,1,0,2
2015-06-25,0,0,0,3
2015-06-26,0,0,0,3
2015-06-27,0,1,0,3
2015-06-28,2,2,0,1
2015-06-29,3,2,1,1
2015-06-30,3,1,2,1
2015-07-01,3,1,2,2
2015-07-02,3,2,3,1
2015-07-03,3,4,3,0
2015-07-04,3,4,3,0
2015-07-05,3,4,3,0
2015-07-06,3,4,3,0
2015-07-07,3,2,3,0
2015-07-08,3,4,3,0
2015-07-09,3,4,3,0
2015-07-10,2,4,3,0
2015-07-11,1,4,3,0
2015-07-12,0,4,2,0
2015-07-13,1,3,2,0
2015-07-14,2,3,2,0
2015-07-15,3,4,3,0
2015-07-16,3,3,3,0
2015-07-17,3,0,3,4
2015-07-18,3,0,3,3
2015-07-19,3,1,3,2
2015-07-20,3,3,3,2
2015-07-21,2,2,3,3
2015-07-22,0,0,3,4
2015-07-23,0,0,1,4
2015-07-24,0,0,0,4
2015-07-25,0,0,1,4
2015-07-26,0,0,0,4
2015-07-27,0,0,0,4
2015-07-28,0,2,0,4
2015-07-29,1,3,0,3
2015-07-30,2,3,0,3
2015-07-31,2,1,0,4
2016-06-01,0,4,0,0
2016-06-02,0,4,0,2
2016-06-03,0,4,0,2
2016-06-04,3,3,1,0
2016-06-05,2,3,2,0
2016-06-06,1,1,0,2
2016-06-07,2,2,0,3
2016-06-08,2,4,1,3
2016-06-09,2,3,3,0
2016-06-10,2,1,3,0
2016-06-11,2,0,3,1
2016-06-12,0,0,1,4
2016-06-13,0,0,0,4
2016-06-14,1,2,0,4
2016-06-15,2,3,0,3
2016-06-16,2,3,2,3
2016-06-17,3,1,3,3
2016-06-18,3,0,3,4
2016-06-19,3,0,3,4
2016-06-20,2,0,1,4
2016-06-21,3,0,1,4
2016-06-22,3,0,3,4
2016-06-23,0,0,2,4
2016-06-24,0,0,0,4
2016-06-25,0,0,0,3
2016-06-26,1,1,0,3
2016-06-27,3,1,0,3
2016-06-28,3,2,1,1
2016-06-29,3,4,2,0
2016-06-30,3,4,2,0
2016-07-01,0,3,1,0
2016-07-02,0,0,2,3
2016-07-03,0,0,3,3
2016-07-04,1,1,3,3
2016-07-05,1,0,3,4
2016-07-06,2,0,3,4
2016-07-07,3,0,3,4
2016-07-08,3,0,3,4
2016-07-09,0,0,3,4
2016-07-10,0,0,0,4
2016-07-11,0,0,0,3
2016-07-12,0,2,0,1
2016-07-13,0,2,0,0
2016-07-14,3,0,0,0
2016-07-15,2,0,1,2
2016-07-16,3,0,0,4
2016-07-17,1,0,0,4
2016-07-18,0,0,0,4
2016-07-19,1,0,0,4
2016-07-20,1,0,0,4
2016-07-21,0,0,1,4
2016-07-22,0,0,0,4
2016-07-23,0,0,0,4
2016-07-24,0,1,0,4
2016-07-25,0,3,0,3
2016-07-26,0,2,0,4
2016-07-27,1,0,0,4
2016-07-28,2,0,0,4
2016-07-29,2,0,0,4
2016-07-30,1,0,0,4
2016-07-31,2,0,0,4
2017-06-01,0,4,0,0
2017-06-02,0,4,0,1
2017-06-03,2,4,1,0
2017-06-04,1,4,0,0
2017-06-05,0,4,0,0
2017-06-06,0,4,0,0
2017-06-07,0,4,0,0
2017-06-08,0,4,0,0
2017-06-09,0,4,1,0
2017-06-10,0,4,2,0
2017-06-11,1,2,1,0
2017-06-12,1,3,0,1
2017-06-13,3,4,0,0
2017-06-14,3,4,0,0
2017-06-15,1,4,0,0
2017-06-16,0,3,0,0
2017-06-17,0,3,0,0
2017-06-18,0,4,0,0
2017-06-19,0,2,0,0
2017-06-20,0,0,0,2
2017-06-21,2,0,2,3
2017-06-22,3,0,3,2
2017-06-23,3,0,3,2
2017-06-24,3,0,3,2
2017-06-25,3,2,3,2
2017-06-26,3,2,3,1
2017-06-27,3,4,3,0
2017-06-28,3,4,3,0
2017-06-29,3,4,3,0
2017-06-30,1,3,3,0
2017-07-01,0,0,3,1
2017-07-02,1,0,3,2
2017-07-03,1,0,0,2
2017-07-04,3,1,0,2
2017-07-05,3,2,1,2
2017-07-06,3,2,2,2
2017-07-07,3,2,3,1
2017-07-08,3,3,3,0
2017-07-09,2,4,2,1
2017-07-10,0,3,0,1
2017-07-11,1,4,0,1
2017-07-12,2,4,0,0
2017-07-13,2,2,0,0
2017-07-14,3,0,0,1
2017-07-15,3,1,1,2
2017-07-16,3,1,2,3
2017-07-17,3,0,3,4
2017-07-18,1,0,2,4
2017-07-19,0,1,0,4
2017-07-20,0,2,0,3
2017-07-21,0,2,0,4
2017-07-22,0,0,0,4
2017-07-23,2,0,0,4
2017-07-24,0,0,0,4
2017-07-25,0,0,0,4
2017-07-26,0,0,0,4
2017-07-27,0,0,0,4
2017-07-28,0,0,0,4
2017-07-29,0,1,0,3
2017-07-30,0,2,0,3
2017-07-31,3,0,2,4
2018-06-01,3,2,0,2
2018-06-02,3,3,3,1
2018-06-03,3,4,3,0
2018-06-04,1,4,0,0
2018-06-05,0,4,0,0
2018-06-06,0,4,0,0
2018-06-07,0,4,0,0
2018-06-08,1,4,0,0
2018-06-09,0,4,0,1
2018-06-10,0,3,0,3
2018-06-11,0,4,0,2
2018-06-12,0,4,0,2
2018-06-13,0,4,0,3
2018-06-14,2,4,0,4
2018-06-15,3,4,3,0
2018-06-16,3,4,3,0
2018-06-17,2,4,3,0
2018-06-18,1,3,3,0
2018-06-19,0,3,3,0
2018-06-20,0,4,3,0
2018-06-21,0,3,3,0
2018-06-22,1,1,3,0
2018-06-23,3,2,2,0
2018-06-24,3,3,2,1
2018-06-25,3,4,3,1
2018-06-26,3,4,3,0
2018-06-27,1,4,3,1
2018-06-28,0,2,2,2
2018-06-29,0,2,1,2
2018-06-30,1,1,1,3
2018-07-01,3,1,2,3
2018-07-02,3,2,2,4
2018-07-03,3,1,1,4
2018-07-04,2,0,1,4
2018-07-05,0,0,0,4
2018-07-06,2,0,0,3
2018-07-07,1,0,2,4
2018-07-08,0,0,3,4
2018-07-09,0,0,3,4
2018-07-10,0,0,3,4
2018-07-11,3,0,3,4
2018-07-12,3,1,3,3
2018-07-13,3,0,3,3
2018-07-14,2,0,3,4
2018-07-15,0,0,0,4
2018-07-16,0,0,0,4
2018-07-17,3,0,0,4
2018-07-18,3,0,0,4
2018-07-19,3,0,0,4
2018-07-20,3,2,0,4
2018-07-21,3,2,3,2
2018-07-22,3,1,3,3
2018-07-23,2,2,1,2
2018-07-24,0,2,0,2
2018-07-25,0,1,0,2
2018-07-26,3,0,2,2
2018-07-27,3,2,3,2
2018-07-28,3,4,3,0
2018-07-29,3,4,3,0
2018-07-30,3,2,3,0
2018-07-31,3,1,3,2
2019-06-01,0,4,0,0
2019-06-02,0,4,0,0
2019-06-03,0,4,0,0
2019-06-04,0,3,0,0
2019-06-05,0,4,0,1
2019-06-06,1,4,0,1
2019-06-07,1,4,0,1
2019-06-08,0,4,0,0
2019-06-09,0,4,1,1
2019-06-10,0,4,2,0
2019-06-11,2,3,3,0
2019-06-12,2,3,3,0
2019-06-13,2,4,3,0
2019-06-14,2,4,2,0
2019-06-15,0,4,0,0
2019-06-16,0,4,0,0
2019-06-17,0,3,0,0
2019-06-18,0,0,0,2
2019-06-19,0,1,0,2
2019-06-20,0,2,0,0
2019-06-21,0,2,1,1
2019-06-22,0,2,0,2
2019-06-23,1,3,0,1
2019-06-24,2,4,2,1
2019-06-25,3,4,3,0
2019-06-26,3,4,3,0
2019-06-27,3,3,3,1
2019-06-28,3,1,3,2
2019-06-29,3,0,3,3
2019-06-30,3,0,3,4
2019-07-01,3,0,3,4
2019-07-02,3,1,3,4
2019-07-03,3,0,3,3
2019-07-04,3,2,3,1
2019-07-05,3,4,2,0
2019-07-06,3,4,2,0
2019-07-07,3,4,1,0
2019-07-08,3,4,1,0
2019-07-09,2,4,1,0
2019-07-10,2,3,1,0
2019-07-11,3,3,2,0
2019-07-12,3,2,2,0
2019-07-13,2,1,3,0
2019-07-14,2,0,3,1
2019-07-15,1,0,3,2
2019-07-16,0,0,0,3
2019-07-17,0,0,0,4
2019-07-18,0,0,0,4
2019-07-19,0,0,0,4
2019-07-20,0,0,0,4
2019-07-21,3,0,1,4
2019-07-22,3,2,3,2
2019-07-23,2,3,3,2
2019-07-24,2,2,3,3
2019-07-25,3,0,3,4
2019-07-26,2,0,3,4
2019-07-27,2,0,3,4
2019-07-28,3,0,2,4
2019-07-29,3,0,1,4
2019-07-30,3,0,1,4
2019-07-31,2,0,0,4
2020-06-01,1,4,0,0
2020-06-02,0,3,0,0
2020-06-03,0,1,0,1
2020-06-04,0,1,0,2
2020-06-05,0,2,0,2
2020-06-06,0,3,0,2
2020-06-07,0,3,0,1
2020-06-08,0,4,0,1
2020-06-09,0,3,0,1
2020-06-10,2,3,1,1
2020-06-11,3,3,2,0
2020-06-12,3,4,2,0
2020-06-13,1,4,1,0
2020-06-14,0,4,0,0
2020-06-15,0,4,1,0
2020-06-16,0,4,2,0
2020-06-17,0,3,1,0
2020-06-18,0,3,0,0
2020-06-19,0,3,0,0
2020-06-20,0,3,0,0
2020-06-21,0,2,0,0
2020-06-22,0,1,0,2
2020-06-23,1,2,0,4
2020-06-24,2,3,3,4
2020-06-25,1,0,3,4
2020-06-26,3,0,3,4
2020-06-27,3,0,3,4
2020-06-28,2,0,3,4
2020-06-29,1,0,3,4
2020-06-30,3,1,3,4
2020-07-01,3,3,3,3
2020-07-02,3,3,3,4
2020-07-03,3,3,3,3
2020-07-04,3,2,3,2
2020-07-05,1,1,2,3
2020-07-06,0,1,1,3
2020-07-07,0,1,1,3
2020-07-08,0,2,0,4
2020-07-09,0,4,0,3
2020-07-10,0,4,0,2
2020-07-11,1,4,0,2
2020-07-12,2,3,0,4
2020-07-13,2,3,2,4
2020-07-14,3,3,2,3
2020-07-15,2,3,2,2
2020-07-16,1,3,1,2
2020-07-17,1,3,2,2
2020-07-18,1,4,2,2
2020-07-19,1,4,3,2
2020-07-20,0,3,2,4
2020-07-21,0,2,1,4
2020-07-22,2,1,1,4
2020-07-23,2,0,2,4
2020-07-24,0,0,1,4
2020-07-25,1,0,0,4
2020-07-26,2,0,0,4
2020-07-27,2,0,0,4
2020-07-28,2,0,0,4
2020-07-29,3,0,3,4
2020-07-30,3,0,3,4
2020-07-31,0,3,2,3
2021-06-01,0,4,3,0
2021-06-02,1,4,3,0
2021-06-03,0,3,2,1
2021-06-04,0,0,1,2
2021-06-05,0,0,0,4
2021-06-06,0,0,0,3
2021-06-07,2,1,2,4
2021-06-08,3,2,3,4
2021-06-09,0,1,3,4
2021-06-10,0,1,1,4
2021-06-11,0,2,0,3
2021-06-12,1,3,1,3
2021-06-13,3,4,2,2
2021-06-14,3,3,3,2
2021-06-15,3,1,1,1
2021-06-16,3,3,1,0
2021-06-17,3,4,2,0
2021-06-18,1,4,2,0
2021-06-19,3,4,3,0
2021-06-20,3,4,3,0
2021-06-21,3,4,3,0
2021-06-22,3,4,3,0
2021-06-23,2,4,3,0
2021-06-24,2,3,3,0
2021-06-25,3,3,3,0
2021-06-26,3,2,3,0
2021-06-27,3,0,3,0
2021-06-28,3,0,3,0
2021-06-29,3,1,3,0
2021-06-30,3,4,3,0
2021-07-01,3,4,3,0
2021-07-02,3,4,3,0
2021-07-03,3,3,3,1
2021-07-04,3,2,3,2
2021-07-05,3,0,3,4
2021-07-06,0,0,3,4
2021-07-07,0,0,0,4
2021-07-08,0,0,0,4
2021-07-09,2,0,0,4
2021-07-10,2,0,0,4
2021-07-11,0,0,0,4
2021-07-12,2,0,0,2
2021-07-13,1,0,0,3
2021-07-14,0,0,0,3
2021-07-15,2,1,0,3
2021-07-16,2,0,0,3
2021-07-17,3,0,0,4
2021-07-18,3,0,1,3
2021-07-19,3,0,3,3
2021-07-20,1,0,3,4
2021-07-21,0,0,3,4
2021-07-22,0,1,0,3
2021-07-23,0,1,0,3
2021-07-24,0,0,0,4
2021-07-25,1,0,0,4
2021-07-26,2,0,0,4
2021-07-27,3,0,1,4
2021-07-28,3,0,3,4
2021-07-29,3,0,3,4
2021-07-30,3,1,3,4
2021-07-31,3,1,3,4
2022-06-01,3,4,2,0
2022-06-02,3,4,2,0
2022-06-03,1,4,2,0
2022-06-04,0,4,0,0
2022-06-05,0,4,0,0
2022-06-06,0,4,0,0
2022-06-07,0,4,0,0
2022-06-08,0,4,0,0
2022-06-09,0,4,0,0
2022-06-10,0,4,0,1
2022-06-11,0,4,0,1
2022-06-12,0,2,0,2
2022-06-13,0,2,2,2
2022-06-14,2,3,3,1
2022-06-15,3,4,3,1
2022-06-16,3,4,3,1
2022-06-17,3,2,3,2
2022-06-18,0,1,2,2
2022-06-19,1,1,2,2
2022-06-20,3,0,2,3
2022-06-21,3,0,2,4
2022-06-22,3,0,2,4
2022-06-23,3,1,2,3
2022-06-24,3,2,3,2
2022-06-25,3,2,3,2
2022-06-26,3,0,3,2
2022-06-27,3,1,3,2
2022-06-28,3,1,3,2
2022-06-29,3,1,3,1
2022-06-30,3,3,3,0
2022-07-01,3,3,3,0
2022-07-02,3,3,3,1
2022-07-03,2,2,3,2
2022-07-04,1,1,3,3
2022-07-05,2,0,3,3
2022-07-06,2,0,3,3
2022-07-07,0,1,2,2
2022-07-08,1,1,0,1
2022-07-09,1,1,0,1
2022-07-10,0,1,0,2
2022-07-11,0,1,0,3
2022-07-12,0,1,0,4
2022-07-13,0,1,0,4
2022-07-14,0,2,0,4
2022-07-15,2,2,0,4
2022-07-16,1,0,3,4
2022-07-17,0,0,3,4
2022-07-18,0,0,3,4
2022-07-19,0,0,3,4
2022-07-20,0,0,3,4
2022-07-21,0,1,3,4
2022-07-22,2,2,3,4
2022-07-23,3,4,3,4
2022-07-24,2,4,3,4
2022-07-25,1,0,3,4
2022-07-26,3,0,3,4
2022-07-27,3,2,3,4
2022-07-28,2,4,3,2
2022-07-29,1,4,3,2
2022-07-30,1,4,3,3
2022-07-31,2,2,3,4
